# idioma	tipo	contexto	enunciado	fonte
PORTUGUES	TRANSFORMACAO_MEDIDAS	Figurinhas	Maria faz coleção de figurinhas. Ela tem 32 figurinhas. Sua mãe a presenteou com mais 22 figurinhas. Quantas figurinhas Maria tem em sua coleção agora?	pdf
PORTUGUES	TRANSFORMACAO_MEDIDAS	Frutas e verduras	Maria foi fazer compras na feira com R$ 25,00. Gastou R$ 18,00 comprando frutas e verduras. Com quantos reais Maria ficou após a feira?	pdf
PORTUGUES	TRANSFORMACAO_MEDIDAS	Frutas	Nádia comprou dez morangos, sua irmã comeu três. Com quantos morangos Nádia ficou?	pdf
PORTUGUES	TRANSFORMACAO_MEDIDAS	Balas	Leandro tinha 10 balas. Lucas, seu irmão, pegou algumas balas escondidas de Leandro. Quando Leandro foi comer suas balas só restavam 6 balas. Quantas balas Lucas comeu?	pdf
PORTUGUES	TRANSFORMACAO_MEDIDAS	Bolas	Paulo tinha seis bolas pela manhã. Ele ganhou oito à tarde. Com quantas bolas ele ficou?	pdf
PORTUGUES	TRANSFORMACAO_MEDIDAS	Dinheiro e brinquedos	Andréa tinha economizado dezesseis reais para comprar uma boneca. Sua tia deu-lhe mais cinco reais. Com quanto Andréa ficou?	pdf
PORTUGUES	TRANSFORMACAO_MEDIDAS	Figurinhas	Lucas ganhou 12 figurinhas de seu tio. Ele possui agora 17 figurinhas. Quantas figurinhas ele tinha antes de ganhar as figurinhas do tio?	pdf
PORTUGUES	TRANSFORMACAO_MEDIDAS	Selos	Pedro coleciona selos. Hoje ganhou 23 selos ficando com 417 selos na sua coleção. Quantos selos ele tinha antes?	pdf
PORTUGUES	TRANSFORMACAO_MEDIDAS	Bonecas	Karla coleciona fofoletes. Mês passado, ela tinha 25 fofoletes. Hoje ela contou sua coleção e viu que já possui 34. Quantas fofoletes ela ganhou desde o mês passado?	pdf
PORTUGUES	TRANSFORMACAO_MEDIDAS	Bolas de Gude	Paulo tinha dezesseis bolas de gude. Ele deu 5 para seu irmão Pedro. Com quantas bolas ele ficou?	pdf
PORTUGUES	TRANSFORMACAO_MEDIDAS	Dinheiro	Mônica foi à feira com R$73,00 e voltou com R$18,00. Quanto Mônica gastou na feira?	pdf
PORTUGUES	TRANSFORMACAO_MEDIDAS	Figurinhas	Lucas perdeu 12 figurinhas para o João no jogo de bafo. Ele possui agora 17 figurinhas. Quantas figurinhas ele tinha antes?	pdf
PORTUGUES	TRANSFORMACAO_MEDIDAS	Dinheiro	Larissa possuía R$20,00, ganhou mais R$ 35,00 de sua avó. Com quanto dinheiro ela ficou?	pdf
