# Situações do PDF com estrutura multiplicativa/divisiva, proporcional ou fora das categorias aditivas implementadas no Gerard.
# Foram preservadas como referência de futura expansão, mas não entram no sorteio atual do campo aditivo.
# contexto	enunciado	observacao
Golfinho	O treinador vai distribuir 15 peixes entre 3 golfinhos. Cada golfinho deve receber o mesmo tanto. Ele já distribuiu 4 peixes para cada um, mas a divisão ainda não terminou. No total, quantos peixes ele já distribuiu? Quantos peixes ainda faltam distribuir? Depois que terminou, quantos peixes cada golfinho recebeu? Escreva a divisão 15 / 3 = 5.	Divisão/repartição equitativa com etapa parcial.
Moedas	Vamos repartir 20 moedas entre 4 crianças. Para começar, vamos dar 2 moedas para cada uma. Quanto dá 20 dividido por 4?	Divisão/repartição equitativa com etapa parcial.
Bolinhas de gude	Dona Cleide vai repartir 18 bolinhas de gude entre seus 3 filhos. Todos devem receber a mesma quantidade. Quantas bolinhas cada um irá receber?	Divisão/repartição equitativa.
Peixes	O dono da loja de animais dividiu 36 peixinhos igualmente entre 4 aquários. Quantos peixinhos ficaram em cada aquário?	Divisão/repartição equitativa.
Dinheiro	Seu José tem sete notas de 5 reais. Quanto dinheiro ele tem? Quanto falta para ele ter 50 reais?	Multiplicação por agrupamento e comparação posterior.
Moedas	Titio repartiu igualmente 18 moedas de 50 centavos entre seus 6 sobrinhos. Quantas moedas cada sobrinho ganhou? Quantos reais cada sobrinho recebeu?	Divisão e conversão de valor monetário.
Moedas	Vamos dividir 30 moedas entre 5 crianças. Todas receberão o mesmo tanto. Cada criança já recebeu 4 moedas. No total, quantas já foram distribuídas? Quantas moedas faltam distribuir? Quanto dá 30/5?	Divisão/repartição equitativa com etapa parcial.
Flores	Vamos repartir igualmente 24 flores em 3 vasos. Para começar, foram colocadas 5 flores em cada vaso. Quantas já foram repartidas? Quantas flores faltam repartir? Quanto dá 24/3?	Divisão/repartição equitativa com etapa parcial.
Lápis	Vamos repartir 27 lápis em 3 estojos igualmente. Cada estojo recebeu 6 lápis. Quantos lápis já foram repartidos? Ainda há lápis para distribuir? Quantos? Quanto dá 27/3?	Divisão/repartição equitativa com etapa parcial.
Moedas	Agora, vamos dividir igualmente 40 moedas entre 5 crianças. Já foram dadas 8 moedas para cada criança. Até agora, quantas foram distribuídas? Quantas moedas faltam distribuir? Quanto dá 40/5?	Divisão/repartição equitativa com etapa parcial.
Folhas	São 28 folhas para vocês quatro. Quantas dá para cada um? Alunos afirmam: dá mais que 5, dá menos que 10, dá 8, dá 7. O primeiro aluno está certo? E o segundo? E o terceiro? E o quarto?	Divisão com avaliação de estimativas.
Números	Faça as divisões: 12/3, 15/5, 7/7, 15/3, 20/5, 14/7, 21/3, 30/5, 21/7, 12/4, 6/6, 18/2, 28/4, 24/6, 18/3, 32/4, 30/6, 18/6.	Lista de exercícios de divisão.
Lápis	A professora vai distribuir igualmente 36 lápis entre quatro alunos. Alunos afirmam: dá menos que 10, dá mais que 5, dá menos que 8, dá mais que 6. Uma das crianças se enganou. Qual foi?	Divisão com avaliação de estimativas.
Sanduíches	Dana Cristina fez 14 sanduíches. Ela vai dividi-los igualmente em 2 bandejas. Vou pôr metade dos sanduíches em cada bandeja. Quanto é a metade de 14? 14 / 2 = ____.	Metade/divisão por 2.
Números	Primeiro, complete a tabela. Depois, efetue as divisões: números 8, 28, 40, 68 e suas metades; 8/2, 28/2, 40/2, 68/2.	Tabela de metade/divisão por 2.
Anões e aranhas	Cada embalagem tem 7 peças: os sete anões. Uma aranha tem 8 patas. Tabela com caixa/anões e aranha/patas.	Relação proporcional/multiplicativa.
Brinquedos	Pedro tinha duas caixas de brinquedos; cada caixa tinha 3 carros, 2 bonecos e uma bola. Quantos brinquedos Pedro possuía?	Composição multiplicativa: duas caixas com a mesma composição interna.
